"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"L",2022,220,1,0,0,38.5072957924666
"L",2022,220,2,0.9,1,47.9889383681148
"L",2022,220,3,1.7,1.75,44.7106956126227
"L",2022,220,4,3.1,3,51.4988397841744
"L",2022,220,5,4,4,57.7074067120012
"L",2022,220,6,6,6,864.168329393756
"R",2022,220,1,0,0,21.8984893697645
"R",2022,220,2,0.7,0.75,19.2566620423745
"R",2022,220,3,1.6,1.5,21.0657238501776
"R",2022,220,4,3,3,24.9132096340532
"R",2022,220,5,3.5,3.5,27.8705175908902
"R",2022,220,6,4.7,4.75,305.956214702389
"L",2024,142,1,0,0,4.39230910155995
"L",2024,142,2,0.7,0.75,5.12157412359751
"L",2024,142,3,1.75,1.75,5.56450361489345
"L",2024,142,4,4.1,4,5.4704558209813
"L",2024,142,5,5.2,5.25,15.7188592730351
"L",2024,142,6,6.7,6.75,169.649707327485
"L",2024,149,1,0,0,4.12076058197176
"L",2024,149,2,1.1,1,4.105459020442
"L",2024,149,3,1.9,2,5.27212930003972
"L",2024,149,4,3.6,3.5,5.09803017896662
"L",2024,149,5,4.7,4.75,16.1671049142429
"L",2024,149,6,5.9,6,25.7274317523872
"L",2024,156,1,0,0,2.54680583131081
"L",2024,156,2,0.95,1,3.47786340652038
"L",2024,156,3,2.1,2,3.55028180111055
"L",2024,156,4,3.7,3.75,5.24531608863534
"L",2024,156,5,4.9,5,12.16135548314
"L",2024,156,6,6.8,6.75,60.399681874301
"L",2024,163,1,0,0,2.86462296451925
"L",2024,163,2,1.1,1,2.8729907203009
"L",2024,163,3,2.3,2.25,3.05764465391598
"L",2024,163,4,4,4,5.99561411911875
"L",2024,163,5,5.3,5.25,10.0491244469977
"L",2024,163,6,7.4,7.5,159.840280644717
"L",2024,169,1,0,0,3.58943290317998
"L",2024,169,2,0.9,1,4.47718727692124
"L",2024,169,3,2.2,2.25,4.26591254414065
"L",2024,169,4,3.5,3.5,4.61320357564024
"L",2024,169,5,4.7,4.75,8.7408387595943
"L",2024,169,6,6.7,6.75,31.2157079068758
"L",2024,177,1,0,0,5.263745872673
"L",2024,177,2,1.1,1,4.89235020205462
"L",2024,177,3,2,2,4.58629807601269
"L",2024,177,4,3.4,3.5,5.21119730665934
"L",2024,177,5,4.6,4.5,9.24876005544634
"L",2024,177,6,6.6,6.5,136.733883186305
"L",2024,184,1,0,0,5.18270462372205
"L",2024,184,2,0.65,0.75,5.14425090718806
"L",2024,184,3,1.9,2,4.99269623187608
"L",2024,184,4,3.5,3.5,4.14904256915427
"L",2024,184,5,4.9,5,5.52144245235004
"L",2024,184,6,6.1,6,16.1197053345671
"L",2024,191,1,0,0,4.93096324637011
"L",2024,191,2,0.9,1,5.37833824396312
"L",2024,191,3,1.9,2,4.75567134354477
"L",2024,191,4,3.2,3.25,5.11867052714222
"L",2024,191,5,4.4,4.5,6.4287123027166
"L",2024,191,6,6.6,6.5,93.5720585694483
"L",2024,198,1,0,0,5.1954369159446
"L",2024,198,2,1,1,5.26122361812099
"L",2024,198,3,2,2,5.38904367785045
"L",2024,198,4,3.5,3.5,5.20300367960065
"L",2024,198,5,4.8,4.75,5.90257104793806
"L",2024,198,6,6.9,7,73.1161283830546
"L",2024,205,1,0,0,4.60512574418231
"L",2024,205,2,1.3,1.25,4.72403911973258
"L",2024,205,3,2.4,2.5,4.76007767087917
"L",2024,205,4,4.6,4.5,6.13482480926038
"L",2024,205,5,5.7,5.75,17.5720424906102
"L",2024,205,6,7.1,7,244.689663821662
"L",2024,212,1,0,0,4.04819330732346
"L",2024,212,2,0.9,1,4.10488787823071
"L",2024,212,3,2.2,2.25,4.75286090595625
"L",2024,212,4,3.6,3.5,5.58949631049932
"L",2024,212,5,4.7,4.75,5.7253289034156
"L",2024,212,6,6,6,13.1126172140741
"L",2024,219,1,0,0,4.19100062623775
"L",2024,219,2,0.8,0.75,3.89197633545434
"L",2024,219,3,1.8,1.75,5.07950897734941
