"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"L",2024,205,2,1.3,1.25,11.2479597842998
"L",2024,205,3,2.4,2.5,11.7968840411899
"L",2024,205,4,4.6,4.5,16.2194749983155
"L",2024,205,5,5.7,5.75,44.1663235929042
"L",2024,205,6,7.1,7,286.85960508845
"L",2024,212,1,0,0,9.16500849292258
"L",2024,212,2,0.9,1,9.46435579248708
"L",2024,212,3,2.2,2.25,10.7210828356668
"L",2024,212,4,3.6,3.5,13.1500148399034
"L",2024,212,5,4.7,4.75,14.1407707064912
"L",2024,212,6,6,6,31.6701368590358
"L",2024,219,1,0,0,10.9600919207962
"L",2024,219,2,0.8,0.75,10.2944631112065
"L",2024,219,3,1.8,1.75,13.1758877562038
"L",2024,219,4,3.1,3,13.5970485451994
"L",2024,219,5,4.3,4.25,23.8822053468075
"L",2024,219,6,6.7,6.75,214.082574109837
"L",2024,226,1,0,0,11.5975823993998
"L",2024,226,2,0.85,0.75,13.124343042278
"L",2024,226,3,1.9,2,13.6278362447053
"L",2024,226,4,3.3,3.25,15.9116215106346
"L",2024,226,5,4.2,4.25,16.4970422772127
"L",2024,226,6,6.6,6.5,28.4604691235431
"L",2024,233,1,0,0,12.1714236059013
"L",2024,233,2,0.65,0.75,13.4107847915406
"L",2024,233,3,1.9,2,14.3632689061099
"L",2024,233,4,3,3,13.2685216248856
"L",2024,233,5,4.2,4.25,15.0759777691688
"L",2024,233,6,6.5,6.5,28.4750088719099
"R",2024,141,1,0,0,14.5707885529799
"R",2024,141,2,0.4,0.5,15.0837735120955
"R",2024,141,3,0.9,1,16.2523931627468
"R",2024,141,4,2.1,2,21.3866351509393
"R",2024,141,5,2.9,3,21.9897613260675
"R",2024,141,6,4.75,4.75,180.975812600074
"R",2024,148,1,0,0,10.3739084704116
"R",2024,148,2,0.7,0.75,13.6458394133717
"R",2024,148,3,1.5,1.5,13.3597563692783
"R",2024,148,4,2.5,2.5,16.9186209751434
"R",2024,148,5,3.1,3,34.9067675566346
"R",2024,148,6,4.4,4.5,91.5805152805432
"R",2024,155,1,0,0,10.5175550897705
"R",2024,155,2,0.55,0.5,11.6217984809013
"R",2024,155,3,1.3,1.25,18.0174193611073
"R",2024,155,4,2.3,2.25,14.5975913166609
"R",2024,155,5,3,3,13.2630000030806
"R",2024,155,6,4.3,4.25,120.831201444307
"R",2024,162,1,0,0,15.8305854855454
"R",2024,162,2,0.5,0.5,15.0225158980032
"R",2024,162,3,1.2,1.25,12.7428200451325
"R",2024,162,4,2,2,22.7141167887614
"R",2024,162,5,2.7,2.75,19.6479171906865
"R",2024,162,6,4.4,4.5,56.58949641195
"R",2024,169,1,0,0,50.5171942619542
"R",2024,169,2,0.45,0.5,48.388993009986
"R",2024,169,3,1.2,1.25,46.4302190054539
"R",2024,169,4,1.9,2,76.4487048776458
"R",2024,169,5,2.5,2.5,35.9109287229592
"R",2024,169,6,3.9,4,27.1230003328159
"R",2024,176,1,0,0,44.4407060574585
"R",2024,176,2,0.45,0.5,59.3380982790073
"R",2024,176,3,0.95,1,65.1750193158164
"R",2024,176,4,1.7,1.75,22.6792962680318
"R",2024,176,5,2.3,2.25,25.4301870571524
"R",2024,176,6,4,4,15.8769133029314
"R",2024,183,1,0,0,19.45969100632
"R",2024,183,2,0.4,0.5,19.1914518031116
"R",2024,183,3,0.9,1,19.6046409791703
"R",2024,183,4,1.7,1.75,19.2655548930964
"R",2024,183,5,2.2,2.25,18.3078190562427
"R",2024,183,6,4,4,16.7453350352065
"R",2024,190,1,0,0,44.1958340582272
"R",2024,190,2,0.35,0.25,51.5701854754137
"R",2024,190,3,1,1,46.9919060270931
"R",2024,190,4,1.6,1.5,46.5750418643365
"R",2024,190,5,2.2,2.25,24.9486897950089
"R",2024,190,6,3.6,3.5,19.2707874612212
"R",2024,197,1,0,0,95.2195548449625
"R",2024,197,2,0.45,0.5,88.7999512157437
"R",2024,197,3,1,1,80.9044325307499
"R",2024,197,4,1.5,1.5,70.0610016304726
"R",2024,197,5,2.1,2,74.8330863474432
"R",2024,197,6,3.3,3.25,40.1266199314685
"R",2024,204,1,0,0,121.130688917494
"R",2024,204,2,0.35,0.25,110.265380484464
"R",2024,204,3,0.7,0.75,111.24367395835
"R",2024,204,4,1.3,1.25,95.9838223522451
"R",2024,204,5,1.7,1.75,51.2424238508372
"R",2024,204,6,3.1,3,123.763132125398
"R",2024,211,1,0,0,52.0968761063131
"R",2024,211,2,0.45,0.5,53.7942828976882
"R",2024,211,3,0.95,1,56.2775326157637
"R",2024,211,4,1.7,1.75,68.9889293915515
"R",2024,211,5,2.2,2.25,50.0777664992769
"R",2024,211,6,4,4,105.745848584695
"R",2024,218,1,0,0,124.579386633563
"R",2024,218,2,0.45,0.5,129.623895737598
"R",2024,218,3,1,1,137.630421483476
"R",2024,218,4,1.5,1.5,129.792626470142
"R",2024,218,5,1.9,2,129.805947317448
"R",2024,218,6,3,3,66.8700805932933
"R",2024,225,1,0,0,9.33556322383991
"R",2024,225,2,0.5,0.5,9.27052614581584
"R",2024,225,3,1.2,1.25,8.69180933507158
"R",2024,225,4,1.9,2,6.99240006338252
"R",2024,225,5,2.5,2.5,11.2740512321476
"R",2024,225,6,4.2,4.25,54.4863575070768
"R",2024,232,1,0,0,34.1715429790539
"R",2024,232,2,0.55,0.5,34.9128089526776
"R",2024,232,3,1.2,1.25,36.398997603107
"R",2024,232,4,1.9,2,37.7624255038525
"R",2024,232,5,2.6,2.5,39.6543340787694
"R",2024,232,6,4.2,4.25,57.0368209122133
"T",2024,143,1,0,0,46.1773083537273
"T",2024,143,2,0.4,0.5,44.8781861903695
"T",2024,143,3,1.1,1,43.4278950468211
"T",2024,143,4,1.9,2,55.2415581317551
"T",2024,143,5,2.4,2.5,97.0217453366636
"T",2024,143,6,3.3,3.25,200.442191890642
"T",2024,150,1,0,0,24.9874290826486
"T",2024,150,2,0.5,0.5,25.6240872259564
"T",2024,150,3,1.2,1.25,25.5891848647271
"T",2024,150,4,1.9,2,38.2076517530042
"T",2024,150,5,2.4,2.5,51.6876527119198
"T",2024,150,6,3.5,3.5,171.197593267033
"T",2024,157,1,0,0,32.1133049066821
"T",2024,157,2,0.35,0.25,25.1945255967218
"T",2024,157,3,0.85,0.75,23.9878370540143
"T",2024,157,4,1.9,2,27.3318729598633
"T",2024,157,5,2.4,2.5,28.5629856678962
"T",2024,157,6,3.4,3.5,599.233851405974
"T",2024,164,1,0,0,21.9695980905929
