Date,Time,Temp [°C],Temp [°F],Temp [°K],pH [Units],ORP [mV],SpCond [mS/cm],SpCond [µS/cm],Res [kO-cm],Sal [ppt],TDS [g/l],pHVolts [mV],LDO% [Sat],LDO [mg/l],BP [mmHg],CHL [µg/l],CHLV [Volts],PCY [cell/mL],PCYV [Volts],IBatt [Volts],EBatt [Volts],IBatt [%Left],EBatt [%Left],Circ [Status],Date / Time,lake,depth,
6/13/2024,13:30:20,21.36,70.4,294.5,8.19,-196,0.9,892,1,0.46,0.6,-41.3,100.2,8.75,752,0,0.0063,0,0.0034,6.9,0,7,0,1,6/13/2024 13:30:20,,,
6/13/2024,13:30:50,21.4,70.5,294.6,8.19,-190,0.9,890,1,0.46,0.6,-41.3,99.8,8.71,752,0,0.0065,0,0.0034,6.9,0,6,0,1,6/13/2024 13:30:50,,,
6/13/2024,13:31:20,21.4,70.5,294.6,8.19,-185,0.9,890,1,0.46,0.6,-41.2,99.6,8.69,752,0,0.0065,0,0.0034,6.9,0,6,0,1,6/13/2024 13:31:20,,,
6/13/2024,13:31:50,21.45,70.6,294.6,8.19,-180,0.9,890,1,0.46,0.6,-41.2,99.5,8.68,752,0,0.0066,0,0.0034,6.9,0,6,0,1,6/13/2024 13:31:50,,,
6/13/2024,13:32:20,21.49,70.7,294.6,8.19,-175,0.9,891,1,0.46,0.6,-41.2,99.5,8.67,752,0,0.0067,0,0.0034,6.9,0,6,0,1,6/13/2024 13:32:20,,,
6/13/2024,13:32:50,21.5,70.7,294.7,8.19,-170,0.9,890,1,0.46,0.6,-41.2,99.9,8.7,752,0,0.0066,0,0.0033,6.9,0,6,0,1,6/13/2024 13:32:50,,,
6/13/2024,13:33:20,21.51,70.7,294.7,8.19,-166,0.9,891,1,0.46,0.6,-41.2,100,8.71,752,0,0.0067,0,0.0033,6.8,0,6,0,1,6/13/2024 13:33:20,,,
6/13/2024,13:33:50,21.51,70.7,294.7,8.17,-161,0.9,891,1,0.46,0.6,-39.8,99.7,8.68,752,0,0.0067,0,0.0034,6.9,0,6,0,1,6/13/2024 13:33:50,,,
6/13/2024,13:34:20,21.5,70.7,294.7,8.19,-157,0.9,891,1,0.46,0.6,-41,99.6,8.67,752,0,0.0067,0,0.0034,6.9,0,6,0,1,6/13/2024 13:34:20,,,
6/13/2024,13:34:50,21.6,70.9,294.8,8.18,-154,0.9,891,1,0.46,0.6,-40.6,99.5,8.65,752,0,0.0067,18,0.0035,6.8,0,6,0,1,6/13/2024 13:34:50,,,
6/13/2024,13:35:20,21.57,70.8,294.7,8.19,-150,0.9,891,1,0.46,0.6,-41.1,99.8,8.68,752,0,0.0068,2,0.0034,6.8,0,5,0,1,6/13/2024 13:35:20,,,
6/13/2024,13:35:50,21.57,70.8,294.7,8.19,-147,0.9,891,1,0.46,0.6,-41.2,100.1,8.7,752,0,0.0089,0,0.0034,6.9,0,5,0,1,6/13/2024 13:35:50,,,
6/13/2024,13:36:20,21.56,70.8,294.7,8.19,-144,0.9,891,1,0.46,0.6,-41.1,99.9,8.69,752,0,0.0092,0,0.0034,6.8,0,5,0,1,6/13/2024 13:36:20,,,
6/13/2024,13:36:50,21.56,70.8,294.7,8.19,-140,0.9,891,1,0.46,0.6,-41.1,99.5,8.66,752,0,0.0092,0,0.0034,6.9,0,6,0,1,6/13/2024 13:36:50,,,
6/13/2024,13:37:20,21.63,70.9,294.8,8.2,-138,0.9,892,1,0.46,0.6,-41.6,99.6,8.65,752,0,0.0081,0,0.0032,6.8,0,5,0,1,6/13/2024 13:37:20,,,
6/13/2024,13:37:50,21.62,70.9,294.8,8.18,-134,0.9,893,1,0.47,0.6,-40.6,100,8.69,752,0,0.0104,0,0.0033,6.9,0,6,0,1,6/13/2024 13:37:50,,,
6/13/2024,13:38:20,21.63,70.9,294.8,8.21,-132,0.9,892,1,0.46,0.6,-42.3,99.9,8.68,752,0,0.0099,0,0.0034,6.8,0,6,0,1,6/13/2024 13:38:20,,,
6/13/2024,13:38:50,21.63,70.9,294.8,8.23,-130,0.9,892,1,0.46,0.6,-43.6,99.9,8.68,752,0,0.0104,0,0.0034,6.8,0,6,0,1,6/13/2024 13:38:50,,,
6/13/2024,13:39:20,21.64,70.9,294.8,8.29,-127,0.9,892,1,0.46,0.6,-46.6,100.1,8.69,752,0,0.0103,0,0.0033,6.8,0,5,0,1,6/13/2024 13:39:20,,,
6/13/2024,13:39:50,21.65,71,294.8,8.25,-125,0.9,892,1,0.46,0.6,-44.3,100.1,8.69,752,0,0.0099,0,0.0034,6.8,0,5,0,1,6/13/2024 13:39:50,,,
6/13/2024,13:40:20,21.65,71,294.8,8.19,-123,0.9,892,1,0.46,0.6,-41.1,100.4,8.72,752,0,0.0096,0,0.0034,6.8,0,5,0,1,6/13/2024 13:40:20,,,
6/13/2024,13:40:50,21.65,71,294.8,8.25,-121,0.9,892,1,0.46,0.6,-44.6,100.5,8.73,752,0,0.0097,0,0.0034,6.8,0,5,0,1,6/13/2024 13:40:50,,,
6/13/2024,13:41:20,21.65,71,294.8,8.26,-119,0.9,892,1,0.46,0.6,-44.8,100.3,8.71,752,0,0.0096,0,0.0034,6.8,0,5,0,1,6/13/2024 13:41:20,,,
6/13/2024,13:41:50,21.65,71,294.8,8.25,-117,0.9,893,1,0.47,0.6,-44.5,100.4,8.72,752,0,0.0098,0,0.0034,6.8,0,5,0,1,6/13/2024 13:41:50,,,
6/13/2024,13:42:20,21.67,71,294.8,8.25,-116,0.9,893,1,0.47,0.6,-44.7,100.5,8.72,752,0,0.0099,0,0.0034,6.8,0,5,0,1,6/13/2024 13:42:20,,,
6/13/2024,13:42:50,21.71,71.1,294.9,8.39,-114,0.9,893,1,0.47,0.6,-52.1,101,8.76,752,0,0.0097,0,0.0034,6.9,0,5,0,1,6/13/2024 13:42:50,,,
6/13/2024,13:43:20,21.75,71.1,294.9,8.3,-113,0.9,893,1,0.47,0.6,-47.2,100.1,8.68,752,0,0.01,0,0.0034,6.7,0,5,0,1,6/13/2024 13:43:20,,,
6/13/2024,13:43:50,21.72,71.1,294.9,8.4,-112,0.9,895,1,0.47,0.6,-52.6,100.5,8.71,752,0,0.0103,0,0.0034,6.8,0,5,0,1,6/13/2024 13:43:50,,,
6/13/2024,13:44:20,21.73,71.1,294.9,8.98,-110,0.9,896,1,0.47,0.6,-85.3,100.7,8.73,752,0,0.0101,0,0.0033,6.7,0,5,0,1,6/13/2024 13:44:20,,,
6/13/2024,13:44:50,21.73,71.1,294.9,11.05,-109,0.9,898,1,0.47,0.6,-201.3,101.5,8.81,752,0,0.01,0,0.0033,6.7,0,5,0,1,6/13/2024 13:44:50,,,
6/13/2024,13:45:20,21.74,71.1,294.9,13.62,-109,0.9,898,1,0.47,0.6,-346,102.3,8.87,752,0,0.0094,0,0.0033,6.8,0,5,0,1,6/13/2024 13:45:20,,,
6/13/2024,13:45:50,21.75,71.2,294.9,14,-109,0.9,898,1,0.47,0.6,-501.4,102.8,8.91,752,0,0.0095,0,0.0033,6.8,0,5,0,1,6/13/2024 13:45:50,,,
6/13/2024,13:46:20,21.77,71.2,294.9,14,-107,0.9,898,1,0.47,0.6,-630.8,102.8,8.9,752,0,0.0094,0,0.0033,6.7,0,5,0,1,6/13/2024 13:46:20,,,
6/13/2024,13:46:50,22.18,71.9,295.3,8.23,-106,0.9,900,1,0.47,0.6,-43.6,102.9,8.85,752,0,0.0098,0,0.0034,6.7,0,5,0,1,6/13/2024 13:46:50,,,
6/13/2024,13:47:20,20.52,68.9,293.7,14,-1000,0,0,2818,-0.02,0,-2500,102.8,9.16,752,0,0.0081,0,0.0021,6.7,0,3,0,1,6/13/2024 13:47:20,,,
6/13/2024,13:47:50,19.12,66.4,292.3,14,198,0,0,4249,-0.02,0,-1542.7,101.9,9.33,752,0,0.0071,255,0.0039,6.7,0,5,0,1,6/13/2024 13:47:50,,,
6/13/2024,13:48:20,20.73,69.3,293.9,8.58,-141,0,11,95,-0.01,0,-62.9,101.7,9.01,752,0,0.0105,1141,0.0089,6.7,0,3,0,1,6/13/2024 13:48:20,,,
