"lake","doy","depth","year","date_time","chl_ugL","do_mgL","do_percent","temp","pH","phyco_cells","SPC","flag"
"T",184,0,2022,"2022-07-03 10:10:20",0.51,7.72,95.2,22.45,5.38,366,9,NA
"L",186,0,2022,"2022-07-05 08:47:20",1.56,7.68,94.4,22.22,5.95,395,11,NA
"R",186,0,2022,"2022-07-05 09:42:20",1.14,8.14,100.1,22.27,5.89,336,12,NA
"T",186,0,2022,"2022-07-05 09:14:20",3.45,7.84,96.5,22.35,5.66,417,9,NA
"L",188,0,2022,"2022-07-07 08:57:20",1.59,7.72,95.5,22.6,5.87,356,11,NA
"R",188,0,2022,"2022-07-07 09:29:20",1.39,8.42,104.4,22.75,6.02,419,12,NA
"T",188,0,2022,"2022-07-07 08:33:20",4.09,7.82,97.1,22.81,5.65,522,9,NA
"L",190,0,2022,"2022-07-09 09:50:20",0.26,7.78,97.8,23.42,6.23,334,11,NA
"R",190,0,2022,"2022-07-09 09:10:20",0.62,8.4,105.5,23.41,6.07,370,12,NA
"T",190,0,2022,"2022-07-09 08:42:20",1.03,7.91,99.7,23.59,5.7,0,9,NA
"L",192,0,2022,"2022-07-11 11:28:20",0,7.87,100.9,24.51,5.99,374,11,NA
"R",192,0,2022,"2022-07-11 09:20:20",0.46,NA,NA,24.13,6.04,318,12,NA
"T",192,0,2022,"2022-07-11 12:01:20",1.4,7.69,99,24.68,5.86,372,9,NA
"L",194,0,2022,"2022-07-13 09:13:20",0,7.7,96.5,23.25,6.01,415,11,NA
"R",194,0,2022,"2022-07-13 08:47:20",0.55,8.11,101.6,23.27,5.86,302,12,NA
"T",194,0,2022,"2022-07-13 09:54:20",1.63,7.58,95.4,23.51,6.31,356,9,NA
"L",196,0,2022,"2022-07-15 09:04:20",0.39,7.58,95.2,23.36,5.98,415,11,NA
"R",196,0,2022,"2022-07-15 09:25:20",3.33,8.03,100.7,23.29,6.21,318,12,NA
"T",196,0,2022,"2022-07-15 10:04:20",2.95,7.55,94.7,23.3,6.19,371,9,NA
"L",198,0,2022,"2022-07-17 09:12:20",0,7.82,100.4,24.54,6.49,320,11,NA
"R",198,0,2022,"2022-07-17 08:48:20",0.6,7.84,100.6,24.48,6.53,316,12,NA
"T",198,0,2022,"2022-07-17 09:39:20",0.66,7.75,100.5,25.1,6.4,314,9,NA
"L",200,0,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",200,0,2022,"2022-07-19 08:55:20",3.26,7.56,99.5,25.85,6.28,255,12,NA
"T",200,0,2022,"2022-07-19 09:29:20",2.94,7.46,97.9,25.71,6.02,376,9,NA
"L",202,0,2022,"2022-07-21 11:33:20",0,7.48,96.5,24.81,5.95,0,11,NA
"R",202,0,2022,"2022-07-21 11:54:20",0.07,7.8,100.9,24.91,6.13,291,12,NA
"T",202,0,2022,"2022-07-21 12:25:20",1.21,7.72,99.7,24.86,5.87,0,9,NA
"L",204,0,2022,"2022-07-23 09:25:20",1.58,7.62,98.3,24.79,6.63,291,11,NA
"R",204,0,2022,"2022-07-23 09:02:20",0.46,7.72,100,25,6.65,284,12,NA
"T",204,0,2022,"2022-07-23 08:36:20",0.95,7.87,101.6,24.86,6.31,502,9,NA
"L",206,0,2022,"2022-07-25 10:39:20",0.03,7.65,96,23.38,6.11,271,11,NA
"R",206,0,2022,"2022-07-25 11:01:20",0.72,8,100.6,23.44,6.16,260,12,NA
"T",206,0,2022,"2022-07-25 10:16:20",2.46,7.39,92.3,23.15,5.41,408,9,NA
"L",210,0,2022,"2022-07-29 09:15:20",0.88,7.86,96.4,22.13,6.2,341,11,NA
"R",210,0,2022,"2022-07-29 08:53:20",0.59,8.06,98.8,22.1,6.07,311,12,NA
"T",210,0,2022,"2022-07-29 08:27:20",3.33,7.47,91.5,22.06,5.51,487,9,NA
"L",212,0,2022,"2022-07-31 12:58:20",0,8.21,105.7,24.71,6.33,0,11,NA
"R",212,0,2022,"2022-07-31 12:36:20",0,8.33,106.5,24.31,6.31,0,12,NA
"T",212,0,2022,"2022-07-31 12:07:20",0.51,8.02,102.7,24.42,6.13,0,9,NA
"L",213,0,2022,"2022-08-01 12:36:20",0.83,8.24,103.2,23.21,6.57,347,11,NA
"R",213,0,2022,"2022-08-01 12:08:20",0.79,8.06,100.9,23.21,6.4,343,12,NA
"T",213,0,2022,"2022-08-01 11:42:20",2.47,7.84,98.2,23.29,5.27,1217,9,NA
"L",214,0,2022,"2022-08-02 09:52:20",0.66,8.15,100.9,22.61,5.8,357,10,NA
"R",214,0,2022,"2022-08-02 10:52:20",0.09,7.98,99.3,22.89,6.51,242,12,NA
"T",214,0,2022,"2022-08-02 10:24:20",1.21,7.46,92.5,22.7,6.04,332,9,NA
"L",216,0,2022,"2022-08-04 14:26:20",0.69,8.31,108.2,25.3,6.55,0,11,NA
"R",216,0,2022,"2022-08-04 14:03:20",0,8.03,103.8,24.93,6.38,265,12,NA
"T",216,0,2022,"2022-08-04 13:39:20",0.72,8.03,104.6,25.36,6.32,85,9,NA
"L",218,0,2022,"2022-08-06 12:17:20",0.8,8.19,105.4,24.66,6.59,275,10,NA
"R",218,0,2022,"2022-08-06 11:52:20",0.17,7.89,100.9,24.32,6.54,259,12,NA
"T",218,0,2022,"2022-08-06 11:23:20",2.35,7.93,101.6,24.48,5.86,353,9,NA
"L",220,0,2022,"2022-08-08 09:26:20",0.5,8.17,101.9,23.04,6.42,186,11,NA
"R",220,0,2022,"2022-08-08 09:52:20",0.08,7.84,98.1,23.19,6.61,279,12,NA
"T",220,0,2022,"2022-08-08 08:52:20",2.35,7.68,96.2,23.2,6.29,341,9,NA
"L",153,0.25,2022,NA,0.77,NA,97.95,NA,5.805,345,10,NA
"R",153,0.25,2022,NA,0.65,NA,99.7,NA,5.885,420,12,NA
"T",153,0.25,2022,NA,1.915,NA,98.95,NA,5.72,349,8,NA
"L",154,0.25,2022,NA,1.905,NA,98,NA,NA,361.5,10,NA
"R",154,0.25,2022,NA,1.2,NA,94.9,NA,NA,390,12,NA
"T",154,0.25,2022,NA,1.6,NA,95.2,NA,NA,224.5,8,NA
"L",155,0.25,2022,NA,1.2575,NA,98.6,NA,6.645,333,10,NA
"R",155,0.25,2022,NA,1.37,NA,98.25,NA,6.49,378,12,NA
"T",155,0.25,2022,NA,3.495,NA,93.9,NA,NA,409.5,8,NA
"L",156,0.25,2022,NA,0.335,NA,98.2,NA,6.46,303,10,NA
"R",156,0.25,2022,NA,1.06,NA,97.8,NA,6.215,347,12,NA
"T",156,0.25,2022,NA,0.915,NA,93.7,NA,NA,703.5,8,NA
"L",157,0.25,2022,NA,1.665,NA,95.3,NA,6.08,356,10,NA
"R",157,0.25,2022,NA,2.35,NA,96.6,NA,6.355,391,12,NA
"T",157,0.25,2022,NA,3.78,NA,92.45,NA,6.255,413,8,NA
"L",158,0.25,2022,NA,0.17,NA,94.65,NA,6.175,51,10,NA
"R",158,0.25,2022,NA,0.68,NA,97.95,NA,6.255,88,12,NA
"T",158,0.25,2022,NA,2.17,NA,91.15,NA,6.02,109,8,NA
"L",159,0.25,2022,NA,0.365,NA,95.2,NA,6.375,337.5,10,NA
"R",159,0.25,2022,NA,1.52,NA,97.85,NA,6.155,360.5,12,NA
"T",159,0.25,2022,NA,0.85,NA,95,NA,6.255,141,8,NA
"L",160,0.25,2022,NA,0.085,NA,93.3,NA,5.805,341,10,NA
"R",160,0.25,2022,NA,0.61,NA,97.7,NA,6.065,304.5,12,NA
"T",160,0.25,2022,NA,0.76,NA,94.05,NA,5.82,222,8,NA
"L",161,0.25,2022,NA,0,NA,95.65,NA,6,263.5,10,NA
"R",161,0.25,2022,NA,0.615,NA,99.75,NA,5.715,329,12,NA
"T",161,0.25,2022,NA,0.54,NA,98.55,NA,5.91,470.5,8.5,NA
"L",162,0.25,2022,NA,0.39,NA,91.9,NA,6.125,275,10,NA
"R",162,0.25,2022,NA,2.46,NA,95.9,NA,6.395,358,12,NA
"T",162,0.25,2022,NA,3.395,NA,91.4,NA,6.005,379.5,8,NA
"L",163,0.25,2022,NA,0.005,NA,90.95,NA,6.095,272,10,NA
"R",163,0.25,2022,NA,0.895,NA,94.7,NA,5.715,353.5,12,NA
"T",163,0.25,2022,NA,0.68,NA,91.2,NA,5.915,107.5,8,NA
"L",164,0.25,2022,NA,0.3,NA,92.25,NA,6.13,337.5,10,NA
"R",164,0.25,2022,NA,1.3525,NA,96.6,NA,6.315,333,12,NA
"T",164,0.25,2022,NA,3.935,NA,93.15,NA,5.805,391.5,8,NA
"L",165,0.25,2022,NA,0.31,NA,90.8,NA,6.275,315,10,NA
"R",165,0.25,2022,NA,1.285,NA,95.9,NA,6.365,335,12,NA
"T",165,0.25,2022,NA,4.28,NA,91.35,NA,5.8,396,8,NA
"L",166,0.25,2022,NA,0.005,NA,97.35,NA,NA,45.5,10,NA
"R",166,0.25,2022,NA,0.495,NA,98.5,NA,NA,87.5,12,NA
"T",166,0.25,2022,NA,2.57,NA,101.45,NA,NA,135,8,NA
"L",167,0.25,2022,NA,0.035,NA,90.95,NA,NA,290,10,NA
"R",167,0.25,2022,NA,0.42,NA,92.25,NA,NA,325.5,11.5,NA
"T",167,0.25,2022,NA,3.885,NA,96.4,NA,NA,393,8,NA
"L",168,0.25,2022,NA,0.365,NA,92.75,NA,NA,306,10,NA
"R",168,0.25,2022,NA,0.81,NA,94.9,NA,NA,323.5,11,NA
"T",168,0.25,2022,NA,3.55,NA,93.8,NA,NA,371,8,NA
"L",169,0.25,2022,NA,0,NA,93.95,NA,NA,290,10,NA
"R",169,0.25,2022,NA,0.37,NA,97.8,NA,NA,301,11.5,NA
"T",169,0.25,2022,NA,1.075,NA,99.45,NA,NA,1863.5,8,NA
"L",170,0.25,2022,NA,0.065,NA,91.8,NA,NA,301.5,10,NA
"R",170,0.25,2022,NA,1.09,NA,96.35,NA,NA,324,11,NA
"T",170,0.25,2022,NA,2.665,NA,97.45,NA,NA,313,8,NA
"L",171,0.25,2022,NA,0.005,NA,95.2,NA,NA,258.5,10,NA
"R",171,0.25,2022,NA,0.14,NA,96.95,NA,NA,254,12,NA
"T",171,0.25,2022,NA,2.19,NA,97.4,NA,NA,307.5,8,NA
"L",172,0.25,2022,NA,0.04,NA,96.05,NA,NA,270,10,NA
"R",172,0.25,2022,NA,0.355,NA,99.2,NA,NA,281.5,12,NA
"T",172,0.25,2022,NA,1.625,NA,99.2,NA,NA,448.5,8.5,NA
"L",173,0.25,2022,NA,0.16,NA,NA,NA,NA,297,10,NA
"R",173,0.25,2022,NA,0.29,NA,NA,NA,NA,316,12,NA
"T",173,0.25,2022,NA,2.59,NA,93.8,NA,NA,328,9,NA
"L",174,0.25,2022,NA,0.02,NA,92.25,NA,NA,275.5,10,NA
"R",174,0.25,2022,NA,0.475,NA,97.35,NA,NA,359,12,NA
"T",174,0.25,2022,NA,1.13,NA,93.7,NA,NA,463,9,NA
"L",175,0.25,2022,NA,0,NA,96.75,NA,6.295,293,10,NA
"R",175,0.25,2022,NA,0.1,NA,96.5,NA,6.305,270,12,NA
"T",175,0.25,2022,NA,2.17,NA,93.45,NA,6.12,342.5,9,NA
"L",176,0.25,2022,NA,0.385,NA,96.1,NA,6.35,282.5,10,NA
"R",176,0.25,2022,NA,0.52,NA,98.45,NA,6.135,328.5,12,NA
"T",176,0.25,2022,NA,3.39,NA,93.1,NA,5.925,365.5,8.5,NA
"L",177,0.25,2022,NA,0.28,NA,90.45,NA,6.3,304,10,NA
"R",177,0.25,2022,NA,0.62,NA,95.55,NA,6.045,292.5,12,NA
"T",177,0.25,2022,NA,4.47,NA,89.45,NA,5.23,413,8.5,NA
"L",178,0.25,2022,NA,0.18,NA,92.6,NA,4.95,378.5,NA,NA
"R",178,0.25,2022,NA,0.205,NA,97.45,NA,6.045,328.5,NA,NA
"T",178,0.25,2022,NA,1.895,NA,91.8,NA,6.04,927.5,NA,NA
"L",179,0.25,2022,NA,0.26,NA,93.3,NA,5.85,307.5,10,NA
"R",179,0.25,2022,NA,0.225,NA,96.15,NA,5.94,336,12,NA
"T",179,0.25,2022,NA,2.49,NA,93.65,NA,5.7,347.5,9,NA
"L",180,0.25,2022,NA,0.16,NA,92.1,NA,5.895,321,10,NA
"R",180,0.25,2022,NA,0.205,NA,93.1,NA,6.03,280,12,NA
"T",180,0.25,2022,NA,2.31,NA,92.05,NA,5.105,1212,9,NA
"L",181,0.25,2022,NA,0.295,NA,91.8,NA,5.99,317.5,10,NA
"R",181,0.25,2022,NA,0.81,NA,96.65,NA,6.025,358,12,NA
"T",181,0.25,2022,NA,4.825,NA,91.45,NA,5.735,418.5,9,NA
"L",182,0.25,2022,NA,0.05,NA,101.45,NA,6.45,275,10,NA
"R",182,0.25,2022,NA,0.185,NA,104.8,NA,5.875,293,12,NA
"T",182,0.25,2022,NA,1.9425,NA,102.6,NA,5.77,229.5,9,NA
"L",183,0.25,2022,NA,0.09,NA,96.2,NA,6.08,292,10,NA
"R",183,0.25,2022,NA,0.68,NA,101.6,NA,5.98,371.5,12,NA
"T",183,0.25,2022,NA,1.495,NA,98.5,NA,5.6,331,8,NA
"L",184,0.25,2022,NA,0.045,NA,99.95,NA,6.33,289,10.5,NA
"R",184,0.25,2022,NA,0.135,NA,102.25,NA,6.09,287.5,12,NA
"T",184,0.25,2022,NA,0.755,NA,95.6,NA,5.405,1682,9,NA
"L",186,0.25,2022,NA,1.17,NA,94,NA,5.89,418.5,11,NA
"R",186,0.25,2022,NA,1.74,NA,100.45,NA,5.97,364.5,12,NA
"T",186,0.25,2022,NA,3.69,NA,96.45,NA,5.705,418,8.5,NA
"L",188,0.25,2022,NA,1.44,NA,95.95,NA,5.925,398,11,NA
"R",188,0.25,2022,NA,1.6125,NA,104.1,NA,6.07,426.5,12,NA
"T",188,0.25,2022,NA,4.305,NA,97.15,NA,5.635,512.5,8.5,NA
"L",190,0.25,2022,NA,0.735,NA,97.85,NA,6.21,343,11,NA
"R",190,0.25,2022,NA,1.885,NA,105.35,NA,6.08,384.5,12,NA
"T",190,0.25,2022,NA,1.18,NA,99.9,NA,5.735,484,9,NA
"L",192,0.25,2022,NA,0.015,NA,100.65,NA,5.97,446,11,NA
"R",192,0.25,2022,NA,0.69,NA,NA,NA,5.965,334.5,12,NA
"T",192,0.25,2022,NA,2.11,NA,99.35,NA,5.88,373.5,9,NA
"L",194,0.25,2022,NA,0.015,NA,96.45,NA,6.04,380.5,11,NA
"R",194,0.25,2022,NA,1.325,NA,101.2,NA,5.95,332.5,12,NA
"T",194,0.25,2022,NA,1.735,NA,95.3,NA,6.235,361.5,9,NA
"L",196,0.25,2022,NA,0.345,NA,95.4,NA,5.895,413,11,NA
"R",196,0.25,2022,NA,3.08,NA,100.8,NA,6.205,301,12,NA
"T",196,0.25,2022,NA,3.03,NA,94.65,NA,6.085,368.5,9,NA
