"doy","depth","lake","year","k","kcrit.depth","perc.light"
162,1.75,"R",2022,NA,NA,15.6482622518792
162,1.75,"R",2024,-1.00690620666059,4.57358388451401,17.1686376046415
162,1.75,"T",2022,NA,NA,9.91829037190353
162,1.75,"T",2024,NA,NA,12.0853701417781
162,2,"L",2022,NA,NA,22.6496229834324
162,2,"L",2024,NA,NA,30.4505789987673
162,2,"R",2022,NA,NA,12.0090522522768
162,2,"R",2024,-1.00690620666059,4.57358388451401,13.3478826953254
162,2,"T",2022,NA,NA,7.13011117946407
162,2,"T",2024,NA,NA,8.93925928388665
162,2.25,"L",2022,NA,NA,18.8165052518469
162,2.25,"L",2024,NA,NA,26.2483700645724
162,2.25,"R",2022,NA,NA,9.21683247481709
162,2.25,"R",2024,-1.00690620666059,4.57358388451401,10.3774088865385
162,2.25,"T",2022,NA,NA,5.12580609464293
162,2.25,"T",2024,NA,NA,6.61272980371711
162,2.5,"L",2022,NA,NA,15.6328426904738
162,2.5,"L",2024,NA,NA,22.6267079991707
162,2.5,"R",2022,NA,NA,7.07432802197252
162,2.5,"R",2024,-1.00690620666059,4.57358388451401,8.06799232930955
162,2.5,"T",2022,NA,NA,3.68497396545127
162,2.5,"T",2024,NA,NA,4.89212963042856
162,2.75,"L",2022,NA,NA,12.9884668515654
162,2.75,"L",2024,NA,NA,19.5052941757369
162,2.75,"R",2022,NA,NA,5.43024505975947
162,2.75,"R",2024,-1.00690620666059,4.57358388451401,6.27251956027626
162,2.75,"T",2022,NA,NA,2.64918962310285
162,2.75,"T",2024,NA,NA,3.61953961749277
162,3,"L",2022,NA,NA,10.7919195699926
162,3,"L",2024,NA,NA,16.8149504810289
162,3,"R",2022,NA,NA,4.16854596499429
162,3,"R",2024,-1.00690620666059,4.57358388451401,4.87661614291785
162,3,"T",2022,NA,NA,1.90457477534083
162,3,"T",2024,NA,NA,2.67822569344639
162,3.25,"L",2022,NA,NA,8.9672715406123
162,3.25,"L",2024,NA,NA,14.4960771779978
162,3.25,"R",2022,NA,NA,3.20022769823691
162,3.25,"R",2024,-1.00690620666059,4.57358388451401,3.79136083623781
162,3.25,"T",2022,NA,NA,1.36927085198334
162,3.25,"T",2024,NA,NA,1.98189080934089
162,3.5,"L",2022,NA,NA,7.45148249967951
162,3.5,"L",2024,NA,NA,12.4973249287389
162,3.5,"R",2022,NA,NA,2.45701875224731
162,3.5,"R",2024,-1.00690620666059,4.57358388451401,2.94762117199512
162,3.5,"T",2022,NA,NA,0.984434989718088
162,3.5,"T",2024,NA,NA,1.46673359250277
162,3.75,"L",2022,NA,NA,6.19221069741918
162,3.75,"L",2024,NA,NA,10.7744511919719
162,3.75,"R",2022,NA,NA,1.88654666347739
162,3.75,"R",2024,-1.00690620666059,4.57358388451401,2.29164960785308
162,3.75,"T",2022,NA,NA,0.707768211288437
162,3.75,"T",2024,NA,NA,1.0855803187489
162,4,"L",2022,NA,NA,5.1459951018205
162,4,"L",2024,NA,NA,9.28933535849934
162,4,"R",2022,NA,NA,1.44863275862523
162,4,"R",2024,-1.00690620666059,4.57358388451401,1.78165972448167
162,4,"T",2022,NA,NA,0.508863602087057
162,4,"T",2024,NA,NA,0.803548563792931
162,4.25,"L",2022,NA,NA,4.27674683526013
162,4.25,"L",2024,NA,NA,8.00913055838453
162,4.25,"R",2022,NA,NA,1.11245101643083
162,4.25,"R",2024,-1.00690620666059,4.57358388451401,1.38516436498943
162,4.25,"T",2022,NA,NA,0.36586261698292
162,4.25,"T",2024,NA,NA,0.594842480058081
162,4.5,"L",2022,NA,NA,3.55449717607907
162,4.5,"L",2024,NA,NA,6.90553314582831
162,4.5,"R",2022,NA,NA,0.854349382989715
162,4.5,"R",2024,-1.00690620666059,4.57358388451401,1.07690615198409
162,4.5,"T",2022,NA,NA,0.263051624884536
162,4.5,"T",2024,NA,NA,0.440384198020325
162,4.75,"L",2022,NA,NA,2.9543584382589
162,4.75,"L",2024,NA,NA,5.95415351152406
162,4.75,"R",2022,NA,NA,0.656178972736923
162,4.75,"R",2024,-1.00690620666059,4.57358388451401,0.837248552947015
162,4.75,"T",2022,NA,NA,0.189134273001302
162,4.75,"T",2024,NA,NA,0.326063063192366
162,5,"L",2022,NA,NA,2.45566149007477
162,5,"L",2024,NA,NA,5.13397414746837
162,5,"R",2022,NA,NA,0.504012676244125
162,5,"R",2024,-1.00690620666059,4.57358388451401,0.650925002257976
