"doy","lake","depth","year","k","kcrit.depth","perc.light"
150,"L",2.5,2022,-0.739709351395153,6.22564794038938,15.7351459740178
150,"T",2.5,2022,-1.23966106778692,3.71486216649627,4.50873901347544
150,"R",2.75,2022,-1.05239449179277,4.37589709554164,5.53496550265196
150,"L",2.75,2022,-0.739709351395153,6.22564794038938,13.0784975032829
150,"T",2.75,2022,-1.23966106778692,3.71486216649627,3.30720112322021
150,"R",3,2022,-1.05239449179277,4.37589709554164,4.2545402660647
150,"L",3,2022,-0.739709351395153,6.22564794038938,10.8703851382004
150,"T",3,2022,-1.23966106778692,3.71486216649627,2.42586213944508
150,"R",3.25,2022,-1.05239449179277,4.37589709554164,3.27032081173643
150,"L",3.25,2022,-0.739709351395153,6.22564794038938,9.03508013998912
150,"T",3.25,2022,-1.23966106778692,3.71486216649627,1.7793919693227
150,"R",3.5,2022,-1.05239449179277,4.37589709554164,2.513784696547
150,"L",3.5,2022,-0.739709351395153,6.22564794038938,7.50963945602575
150,"T",3.5,2022,-1.23966106778692,3.71486216649627,1.3052002127435
150,"R",3.75,2022,-1.05239449179277,4.37589709554164,1.93226104237726
150,"L",3.75,2022,-0.739709351395153,6.22564794038938,6.24174704437836
150,"T",3.75,2022,-1.23966106778692,3.71486216649627,0.957376241275328
150,"R",4,2022,-1.05239449179277,4.37589709554164,1.48526353152578
150,"L",4,2022,-0.739709351395153,6.22564794038938,5.18791965901171
150,"T",4,2022,-1.23966106778692,3.71486216649627,0.7022441908984
150,"R",4.25,2022,-1.05239449179277,4.37589709554164,1.14167170465041
150,"L",4.25,2022,-0.739709351395153,6.22564794038938,4.31201556182908
150,"T",4.25,2022,-1.23966106778692,3.71486216649627,0.515102508699843
150,"R",4.5,2022,-1.05239449179277,4.37589709554164,0.877564320090998
150,"L",4.5,2022,-0.739709351395153,6.22564794038938,3.58399501679989
150,"T",4.5,2022,-1.23966106778692,3.71486216649627,0.377832380684314
150,"R",4.75,2022,-1.05239449179277,4.37589709554164,0.674553930661347
150,"L",4.75,2022,-0.739709351395153,6.22564794038938,2.97889005646303
150,"T",4.75,2022,-1.23966106778692,3.71486216649627,0.277143491795266
150,"R",5,2022,-1.05239449179277,4.37589709554164,0.518506729311295
150,"L",5,2022,-0.739709351395153,6.22564794038938,2.47594818823648
150,"T",5,2022,-1.23966106778692,3.71486216649627,0.203287274916355
150,"R",5.25,2022,-1.05239449179277,4.37589709554164,0.398558537902984
150,"L",5.25,2022,-0.739709351395153,6.22564794038938,2.05792067334984
150,"T",5.25,2022,-1.23966106778692,3.71486216649627,0.149113067296728
150,"R",5.5,2022,-1.05239449179277,4.37589709554164,0.306358431155473
150,"L",5.5,2022,-0.739709351395153,6.22564794038938,1.71047096943377
150,"T",5.5,2022,-1.23966106778692,3.71486216649627,0.10937579269429
150,"R",5.75,2022,-1.05239449179277,4.37589709554164,0.235487336023118
150,"L",5.75,2022,-0.739709351395153,6.22564794038938,1.42168304889678
150,"T",5.75,2022,-1.23966106778692,3.71486216649627,0.0802281399235014
150,"R",6,2022,-1.05239449179277,4.37589709554164,0.181011128755659
150,"L",6,2022,-0.739709351395153,6.22564794038938,1.18165273052809
150,"T",6,2022,-1.23966106778692,3.71486216649627,0.0588480711959305
150,"R",6.25,2022,-1.05239449179277,4.37589709554164,0.139137115764821
150,"L",6.25,2022,-0.739709351395153,6.22564794038938,0.982148008761875
150,"T",6.25,2022,-1.23966106778692,3.71486216649627,0.0431655960961255
150,"R",6.5,2022,-1.05239449179277,4.37589709554164,0.106949982116764
150,"L",6.5,2022,-0.739709351395153,6.22564794038938,0.816326731360258
150,"T",6.5,2022,-1.23966106778692,3.71486216649627,0.0316623578049011
150,"R",6.75,2022,-1.05239449179277,4.37589709554164,0.0822088240934219
150,"L",6.75,2022,-0.739709351395153,6.22564794038938,0.678501943076169
150,"T",6.75,2022,-1.23966106778692,3.71486216649627,0.0232246277691406
150,"R",7,2022,-1.05239449179277,4.37589709554164,0.0631911350059387
150,"L",7,2022,-0.739709351395153,6.22564794038938,0.563946847594987
150,"T",7,2022,-1.23966106778692,3.71486216649627,0.0170354759534567
150,"R",7.25,2022,-1.05239449179277,4.37589709554164,0.0485728823806189
150,"L",7.25,2022,-0.739709351395153,6.22564794038938,0.468732698789958
