"lake","year","date","ZID","carbon","doy","depth","depth.rounded","manual.chl","c.to.chl","c.to.chl.corr"
"L",2022,2022-06-07,6,933.333333333333,158,5.6,5.5,19.4908003058633,47.8858394056074,29.6892204314766
"L",2022,2022-06-21,6,1886.66666666667,172,6.3,6.25,45.1388641208205,41.7969460112407,25.9141065269693
"T",2022,2022-06-15,5,660,166,2.4,2.5,9.6453630116724,68.4266625529072,29.4234648977501
"T",2022,2022-06-15,6,940,166,3.4,3.5,14.5516932457003,64.5972935333659,27.7768362193473
"L",2022,2022-06-21,5,846.666666666667,172,4.7,4.75,10.849796900846,78.0352548904071,48.3818580320524
"L",2022,2022-06-21,1,526.666666666667,172,0,0,3.51398149690542,149.877472926501,92.9240332144305
"T",2022,2022-06-02,1,766.666666666667,153,0,0,3.55234193826556,215.820064619397,92.8026277863407
"T",2022,2022-06-15,4,720,166,1.8,1.75,6.79964875194977,105.887822483999,45.5317636681194
"T",2022,2022-06-02,6,860,153,3.8,3.75,12.2264666598174,70.339209513932,30.2458600909908
"T",2022,2022-06-15,1,660,166,0,0,7.06598648049898,93.4052169249824,40.1642432777424
"T",2022,2022-06-15,3,593.333333333333,166,1,1,5.73644157280142,103.432297845854,44.4758880737171
"T",2022,2022-06-08,4,940,159,2.1,2,4.83933654011916,194.241502364465,83.5238460167202
"T",2022,2022-06-15,2,953.333333333333,166,0.6,0.5,6.53124479869193,145.96502852324,62.7649622649934
"T",2022,2022-06-08,5,933.333333333333,159,2.6,2.5,13.0337942647945,71.6087207126135,30.7917499064238
"T",2022,2022-06-02,4,813.333333333333,153,2.2,2.25,6.30316954704551,129.035610935544,55.4853127022839
"L",2022,2022-06-21,2,533.333333333333,172,1.1,1,2.785850799395,191.443609775928,118.695038061075
"T",2022,2022-06-08,6,1060,159,3.4,3.5,13.8289570525395,76.6507550766705,32.9598246829683
"T",2022,2022-06-02,5,1066.66666666667,153,2.7,2.75,10.6414160935697,100.237285835597,43.1020329093067
"L",2022,2022-06-21,4,500,172,3.2,3.25,3.57179129207024,139.985782794771,86.7911853327582
"T",2022,2022-06-02,2,733.333333333333,153,0.55,0.5,3.69013809806252,198.727883305604,85.4529898214099
"L",2022,2022-06-21,3,493.333333333333,172,2.2,2.25,3.00531989140494,164.153351776043,101.775078101146
"T",2022,2022-06-02,3,746.666666666667,153,1.2,1.25,4.9211530099986,151.725960389693,65.2421629675681
"L",2022,2022-07-12,6,900,193,5.8,5.75,18.9642248407451,47.4577794535703,29.4238232612136
"T",2022,2022-07-06,4,893.333333333333,187,1.9,2,9.23812009747081,96.7007707096066,41.5813314051308
"L",2022,2022-07-12,4,613.333333333333,193,3,3,7.7750263095267,78.8850492482346,48.9087305339054
"R",2022,2022-07-11,1,846.666666666667,192,0,0,-14.0766768692169,-60.1467714669341,-31.8777888774751
"T",2022,2022-07-06,2,460,187,0.45,0.5,8.92524386901517,51.5392079758105,22.1618594295985
"L",2022,2022-07-12,6,720,193,5.8,5.75,18.9642248407451,37.9662235628562,23.5390586089709
"T",2022,2022-07-06,1,800,187,0,0,7.25198940673074,110.314557169306,47.4352595828016
"T",2022,2022-07-06,3,820,187,1.2,1.25,7.92701116765275,103.443780090297,44.4808254388278
"L",2022,2022-07-12,5,613.333333333333,193,4.3,4.25,7.71627347189328,79.4856915799337,49.2811287795589
"R",2022,2022-07-05,6,2080,186,5.1,5,86.2342772014173,24.1203390055876,12.7837796729614
"T",2022,2022-07-06,6,800,187,3.4,3.5,20.6183604447018,38.8003693186755,16.6841588070305
"T",2022,2022-07-06,5,933.333333333333,187,2.4,2.5,6.66140367810098,140.110610080818,60.2475623347518
"R",2022,2022-07-11,1,440,192,0,0,-14.0766768692169,-31.2573772977768,-16.5664099678217
"L",2022,2022-07-12,4,573.333333333333,193,3,3,7.7750263095267,73.7403721233497,45.7190307164768
"L",2022,2022-07-05,5,1353.33333333333,186,4.2,4.25,60.4910113114955,22.3724699586259,13.8709313743481
"R",2022,2022-07-05,1,446.666666666667,186,0,0,5.57816581759881,80.0741106077302,42.439278622097
"R",2022,2022-07-05,4,500,186,2.5,2.5,4.59827292387937,108.736477429045,57.6303330373941
"L",2022,2022-07-05,1,513.333333333333,186,0,0,3.89984949950684,131.629011170366,81.6099869256271
"R",2022,2022-07-05,3,493.333333333333,186,1.4,1.5,5.51391620502849,89.4705895028712,47.4194124365217
"L",2022,2022-07-05,6,1373.33333333333,186,6.3,6.25,28.1705499097194,48.7506753590034,30.2254187225821
"L",2022,2022-07-05,4,560,186,3.6,3.5,6.41245374362198,87.3300646506796,54.1446400834214
